date,SPY,XLF,MSFT,AAPL
20040102,-0.000449,-0.001422,0.002923,-0.004212
20040105,0.010878,0.008188,0.025137,0.041823
20040106,0.000978,-0.000353,0.003554,-0.003608
20040107,0.003376,0.000706,-0.001062,0.022635
20040108,0.003985,0.00353,-0.001772,0.034086
20040109,-0.008732,-0.003517,-0.017756,-0.015411
20040112,0.007385,0.004236,-0.003254,0.031739
20040113,-0.005829,-0.004921,-0.005078,0.016435
20040114,0.008351,0.007771,0.009843,0.003317
20040115,0.002467,0.008412,-0.005776,-0.055785
20040116,0.003955,0.003128,0.009804,-0.005689
20040120,-0.000263,-0.001386,0.010428,0.00044
20040121,0.007881,0.01492,0.007117,-0.005279
20040122,-0.002606,0,-0.010247,-0.019018
20040123,-0.003223,-0.004786,0.01678,0.017133
20040126,0.012584,0.013741,0.011236,0.019947
20040127,-0.01027,-0.006777,-0.019097,0.002608
20040128,-0.011423,-0.017741,-0.019115,-0.02384
20040129,0.00097,0.008336,0.007218,0.007105
20040130,0,0.000689,-0.009316,-0.005291
20040202,0.004318,0.005852,-0.009042,-0.010638
20040203,-0.001667,0.001027,-0.004015,-0.002688
20040204,-0.008174,-0.008205,-0.01026,-0.021114
20040205,0.002924,-0.000345,-0.001851,0.028912
20040206,0.011221,0.016897,0.004451,0.012935
20040209,0.000262,-0.004069,-0.006647,-0.001893
20040210,0.003232,0.003064,0.004461,0.013809
20040211,0.010623,0.015275,0.004811,0.035683
20040212,-0.003618,-0.001672,-0.007366,-0.002941
20040213,-0.004496,-0.002009,-0.013358,-0.030763
20040217,0.009033,0.007383,0.015043,0.006957
20040218,-0.00439,-0.00533,-0.008151,0.004318
20040219,-0.003718,-0.000335,-0.01158,-0.033964
20040220,-0.003037,-0.00268,0.004157,-0.003115
20040223,-0.002524,0,0.001505,-0.009375
20040224,-0.001745,-0.004031,0.010147,0.007661
20040225,0.004196,0.004385,-0.006696,0.020125
20040226,0.000609,0.001007,-0.007491,0.010083
20040227,0.000696,0.002348,0.001132,0.038194
20040301,0.009911,0.007028,0.006408,0.004181
20040302,-0.005854,-0.004985,-0.011611,-0.008743
20040303,0.001818,0.006012,-0.000758,0.00462
20040304,0.002593,0.002656,0,0.051839
20040305,0.003362,0.008609,-0.000758,0.062798
20040308,-0.012201,-0.005253,-0.019734,-0.027674
20040309,-0.004001,-0.006601,-0.004259,0.042308
20040310,-0.016769,-0.015947,-0.013608,0.021402
20040311,-0.012969,-0.016205,-0.011037,-0.019147
20040312,0.013139,0.014756,0.011558,0.015101
20040315,-0.012258,-0.014542,-0.008668,-0.040276
20040316,0.005306,0.009266,0.000795,-0.023819
20040317,0.011182,0.011561,-0.001986,0.01433
20040318,0.000265,0.000336,-0.00955,-0.019855
20040319,-0.014285,-0.01095,-0.010446,0.007402
20040322,-0.012696,-0.012969,-0.005278,0
20040323,-0.001733,-0.000346,-0.014286,-0.022042
20040324,0.000822,-0.00761,0.010766,0.008304
20040325,0.013236,0.010457,0.031954,0.053726
20040326,0.00027,-0.00069,-0.006352,0.006327
20040329,0.01405,0.012772,0.011187,0.032175
20040330,0.003375,0.006817,-0.004346,0.000358
20040331,0.001151,-0.004739,-0.010714,-0.031519
20040401,0.006012,0.010544,0.006017,0.002589
20040402,0.007558,-0.003702,0.030702,0.014386
20040405,0.005495,0.002703,0.003907,0.029818
20040406,-0.00321,-0.000674,-0.005819,-0.017302
20040407,-0.00235,-0.002697,-0.008139,-0.018685
20040408,-0.002268,-0.00169,-0.004299,0.008056
20040412,0.003935,0.006095,0.005102,0.018525
20040413,-0.014022,-0.021205,-0.006248,-0.039586
20040414,0.00159,-0.012036,0.002358,-0.010769
20040415,-0.003792,-0.005917,-0.011564,0.09985
20040416,0.007702,0.010854,-0.002181,-0.004096
20040419,0,-0.001732,0.014706,-0.028444
